alpha;float
anycross;bool
arg0;int
arg0str;string
arg1;int
arg2;int
arg3;int
arg4;int
automapstyle;int
blockeverything;bool
blockfloaters;bool
blockhitscan;bool
blocking;bool
blocklandmonsters;bool
blockmonsters;bool
blockplayers;bool
blockprojectiles;bool
blocksight;bool
blocksound;bool
blockuse;bool
checkswitchrange;bool
clipmidtex;bool
comment;string
damagespecial;bool
deathspecial;bool
dontdraw;bool
dontpegbottom;bool
dontpegtop;bool
firstsideonly;bool
health;int
healthgroup;int
id;int
impact;bool
jumpover;bool
locknumber;int
mapped;bool
midtex3d;bool
midtex3dimpassible;bool
missilecross;bool
monsteractivate;bool
monstercross;bool
monsterpush;bool
monsteruse;bool
moreids;string
passuse;bool
playercross;bool
playerpush;bool
playeruse;bool
playeruseback;bool
repeatspecial;bool
revealed;bool
secret;bool
sideback;int
sidefront;int
special;int
translucent;bool
transparent;bool
twosided;bool
v1;int
v2;int
wrapmidtex;bool
