alpha;float
ambush;bool
angle;int
arg0;int
arg0str;string
arg1;int
arg2;int
arg3;int
arg4;int
class1;bool
class10;bool
class11;bool
class12;bool
class13;bool
class14;bool
class15;bool
class16;bool
class2;bool
class3;bool
comment;string
coop;bool
countsecret;bool
dm;bool
dormant;bool
friend;bool
gravity;float
health;float
height;float
id;int
invisible;bool
renderstyle;string
scalex;float
scaley;float
single;bool
skill1;bool
skill10;bool
skill11;bool
skill12;bool
skill13;bool
skill14;bool
skill15;bool
skill16;bool
skill2;bool
skill3;bool
skill4;bool
skill5;bool
special;int
standing;bool
strifeally;bool
translucent;bool
type;int
x;float
y;float
