alpha;float
arg0;int
arg1;int
arg2;int
arg3;int
arg4;int
blockeverything;bool
blockfloaters;bool
blocking;bool
blocklandmonsters;bool
blockmonsters;bool
blockplayers;bool
blocksound;bool
clipmidtex;bool
comment;string
dontdraw;bool
dontpegbottom;bool
dontpegtop;bool
firstsideonly;bool
id;int
impact;bool
jumpover;bool
lowerportal;bool
mapped;bool
midtex3d;bool
midtex3dimpassible;bool
missilecross;bool
monstercross;bool
monsterpush;bool
monstershoot;bool
monsteruse;bool
passuse;bool
playercross;bool
playerpush;bool
playeruse;bool
polycross;bool
portal;int
renderstyle;string
repeatspecial;bool
secret;bool
sideback;int
sidefront;int
special;int
tranmap;string
translucent;bool
twosided;bool
upperportal;bool
v1;int
v2;int
zoneboundary;bool
